target,1rank,2rank,3rank,4rank,5rank,6rank,7rank,8rank,9rank
900,900,781,2231,2279,1225,2073,301,429,1485
1934,1934,1797,575,2295,1466,294,1873,1332,2038
2438,2438,1544,418,603,2151,605,655,1820,2311
1144,1144,76,1044,1893,586,2330,1483,1868,2388
1274,1274,2378,714,548,878,121,731,374,1943
1052,1052,2053,2699,719,1360,2576,1106,2066,836
2110,1473,2242,2190,2366,2110,2089,1387,2614,312
2361,2596,2361,2648,1395,1824,2636,1051,2695,1037
161,161,2570,1664,390,1839,739,860,908,2638
1747,1747,467,608,799,1093,1311,207,1843,1877
860,860,2604,161,427,1178,2026,498,1402,2480
2478,2478,478,1957,2523,2501,407,2724,2639,36
1710,1710,1888,71,987,2503,2375,56,2009,2711
1601,1045,701,1601,2381,849,167,2460,1996,213
1504,1504,2672,847,687,727,474,1900,1585,2652
1492,1492,178,1561,1569,884,945,2009,1672,2472
736,736,2560,1205,1297,1659,2731,68,1080,1837
876,876,2372,1026,1388,1116,1777,632,1016,2058
1030,2136,1030,1388,1777,876,2372,259,2611,2721
578,2258,578,2707,1028,1948,1446,988,1532,1213
2376,2376,968,881,763,2313,1791,1707,642,1549
840,840,2387,113,2410,2100,615,1994,1500,1710
696,696,1150,278,238,1696,1998,1903,1322,1289
2294,2294,957,2432,1239,1552,1957,103,478,2340
698,698,1392,403,762,54,1917,1588,472,1562
1186,250,1186,1464,2292,2540,2445,2677,2146,2638
1187,1187,774,19,2116,1810,1295,2251,2537,12
567,567,205,1336,1081,229,1298,1188,84,674
1022,1022,77,210,2002,747,2074,322,1130,655
1303,454,1303,2621,561,2455,673,1836,890,776
2152,2152,192,1717,2459,2319,1222,1272,2520,714
2146,2146,1020,1186,1117,1571,1464,250,771,1179
2148,2148,2636,2655,1120,1197,834,1270,262,2239
2147,2147,1109,2698,771,1111,1786,1172,1697,2457
697,697,629,478,2294,1552,103,1957,1429,891
1592,1592,2548,619,1507,1193,1692,1092,2597,2296
226,226,467,613,1132,1806,2585,1547,608,2713
1464,250,1186,1464,2292,2540,2445,2677,2146,2638
1453,1453,2363,11,1803,922,1274,1972,1444,2457
1132,1132,1843,2630,452,226,1547,467,1806,199
2705,2195,2705,592,1940,991,2344,999,2730,1594
1996,1996,1809,213,2721,1353,167,1777,2696,1016
1112,1134,1805,1112,1880,2132,310,961,623,1951
194,194,480,927,1215,2265,2662,2117,2431,1711
2070,2070,60,1275,1528,400,2215,2467,304,712
856,856,2299,239,248,2391,439,1385,2422,1684
210,210,714,527,1093,1311,731,875,1022,1430
2318,2318,1618,1135,1393,1032,2333,2113,2278,2059
2609,2609,1023,495,191,1894,778,1133,529,2339
2279,2279,781,815,644,2231,805,1081,131,429
1628,1628,21,1403,557,916,1914,1234,1040,1482
1081,1081,635,1393,1705,2279,1465,2250,1225,190
2589,2687,1975,200,2589,14,673,669,972,776
318,318,2402,828,2586,2051,1704,1925,1264,1391
1064,1064,2377,461,1125,2511,1617,2154,283,2111
1158,2426,1158,401,2496,580,1044,2462,586,1484
195,1305,195,1138,300,1056,499,1679,134,1476
2365,2365,2058,1026,1417,1388,1777,112,2089,348
2364,2364,1352,481,779,215,1205,1824,1108,643
2366,1473,2242,2190,2366,2110,2089,1387,2614,312
261,261,2595,105,1184,1938,2591,2378,330,2166
782,782,1430,714,1311,2437,1843,2166,857,2327
986,986,853,1783,1157,1769,1784,2046,1349,2455
2114,2114,235,976,458,2700,2075,1669,2525,1619
1856,1856,1440,163,1411,2254,2090,2101,1004,651
1840,1840,2075,900,1222,1485,1622,2253,2520,1401
1958,1958,2513,2583,2010,467,1582,410,595,1877
997,997,2709,722,315,543,2238,2021,142,2447
2381,1045,701,1601,2381,849,167,2460,1996,213
187,187,2418,2184,965,1405,1862,2344,2696,2475
2383,2072,2383,372,1921,2076,324,1123,1252,2191
2382,2382,1293,16,1772,1366,841,2156,2502,839
713,713,2514,1766,2432,1351,2215,545,919,1074
1815,2681,1815,1010,1576,941,425,1135,2306,2463
1937,1937,1851,2435,599,1373,671,1085,682,1879
276,276,259,174,249,2601,2020,752,2223,1878
334,2412,879,334,984,775,2263,836,404,719
2300,2300,2453,2466,1738,1311,210,527,1221,465
1816,1816,2062,2180,1548,982,1621,1312,106,687
1773,1773,912,2231,2658,1189,1777,220,429,1417
2319,2319,2459,1222,1641,975,2421,192,1278,2115
1771,2399,1887,1002,1771,628,488,487,1981,915
968,968,2376,1707,2186,2070,60,2571,2332,1040
2509,2509,1135,1087,2463,818,2670,2724,579,2318
2155,2155,1450,2598,791,1424,279,2017,2303,1287
550,1342,2207,489,1480,1648,2529,550,1427,1733
2265,2265,194,560,480,1215,2253,927,22,2117
756,163,1010,1321,2411,2493,571,408,1330,2375
1851,1851,1273,871,1937,780,2315,939,2169,525
1883,571,388,1230,1883,2554,2286,1775,2383,2508
