target,1rank,2rank,3rank,4rank,5rank
1910,1910,1866,216,2680,2040
2326,2326,1411,1513,1078,2090
680,680,1170,384,1118,1324
2191,1252,2191,1123,2503,420
837,934,441,1670,837,2178
2341,1354,2573,952,2341,2016
396,163,1010,1321,2411,2493
2620,1576,425,2620,2306,2544
399,399,1469,1323,1417,151
2262,2262,195,2050,2102,2246
1672,1672,2472,2523,2724,1492
1479,1479,284,1493,1965,2417
2394,1491,2394,2367,2404,1063
2628,2628,2656,45,1474,1645
780,780,939,2315,1975,1838
213,1996,1809,213,2721,1353
749,749,1899,1732,166,170
1466,1466,2261,1934,575,2295
1146,1146,1074,1391,1367,1925
2288,2288,790,537,337,539
1701,1701,2048,1308,1130,1050
740,740,111,808,669,1185
2403,665,176,2403,1974,2360
189,466,1758,189,2687,2589
423,423,2512,1933,350,1012
452,2630,452,266,1132,1806
1048,1048,1984,1673,2187,991
2535,1034,1823,2535,122,2329
2569,2569,1319,2644,2050,1681
1070,1070,1505,356,1973,741
1242,1242,2151,760,1595,588
302,2629,530,1690,2506,702
1587,1587,1314,1772,841,1031
2045,2045,2493,1703,920,1241
2560,2560,736,2050,693,1681
1615,2160,1615,1176,56,1569
244,244,416,316,497,982
2060,2060,1712,2160,2501,1615
1633,1042,1208,1633,2274,188
1096,163,1010,1321,2411,2493
798,2390,798,959,2013,2586
792,792,252,1016,632,1344
2544,1576,425,2620,2306,2544
372,2072,2383,372,1921,2076
857,857,467,2585,1430,1877
1529,1529,1959,1126,2678,26
1557,1557,2138,1160,673,1836
2305,2305,2328,1249,2553,2158
1707,1707,1995,968,704,1010
456,2727,2030,1259,1290,1194
714,714,1430,2378,1274,782
1769,1769,1951,853,595,326
906,906,611,1536,2301,1073
907,907,541,815,1501,2020
514,514,170,1203,1795,1208
2159,2159,171,70,497,316
1171,1143,2202,1171,1573,149
1342,1342,2207,489,1480,1648
124,163,1010,1321,2411,2493
2678,26,2678,137,717,1289
704,704,2232,2332,2642,217
1331,1750,257,638,1828,2
530,2629,530,1690,2506,702
1787,1787,2219,2194,406,2425
699,1976,2038,699,679,1873
2346,2346,1550,2226,2571,938
920,920,1833,2045,1154,482
1004,1004,2254,2101,79,2206
2167,2167,700,1263,306,341
1419,1419,1873,2038,1976,1332
