user_id,gender,nation,brand,fragrance,user_rating
Emreeryilmaz,M,Turkey,Maison Francis Kurkdjian,Baccarat Rouge 540 EAU DE PARFUMZ,9.0
Emreeryilmaz,M,Turkey,Maison Francis Kurkdjian,Baccarat Rouge 540 EXTRAIT DE PARFUMZ,9.2
Emreeryilmaz,M,Turkey,Paco Rabanne,1 Million EAU DE TOILETTEZ,7.7
Emreeryilmaz,M,Turkey,Parfums de Marly,Herod,6.5
GewoonBB,M,Netherlands,Hiram Green,Vivacious,8.5
GewoonBB,M,Netherlands,Zaharoff,Signature EAU DE PARFUMZ,9.0
GewoonBB,M,Netherlands,Comme des Garçons,G I R L by Pharrell Williams,6.8
GewoonBB,M,Netherlands,Masque,I-III Russian Tea,8.0
GewoonBB,M,Netherlands,Etat Libre d'Orange,Fat Electrician,7.0
GewoonBB,M,Netherlands,Versace,The Dreamer EAU DE TOILETTEZ,6.0
GewoonBB,M,Netherlands,Juliette Has A Gun,Not a Perfume EAU DE PARFUMZ,8.0
GewoonBB,M,Netherlands,Parfums de Marly,Darley,7.5
GewoonBB,M,Netherlands,Zoologist,Panda (2017),7.0
GewoonBB,M,Netherlands,Lalique,Encre Noire à L'Extrême,7.8
GewoonBB,M,Netherlands,Zoologist,Hummingbird,8.0
GewoonBB,M,Netherlands,Tiziana Terenzi,Maremma,9.5
GewoonBB,M,Netherlands,Juliette Has A Gun,Another Oud,4.0
GewoonBB,M,Netherlands,Kilian,Black Phantom Memento Mori,6.0
GewoonBB,M,Netherlands,Giorgio Armani,Armani Privé - Ambre Eccentrico,8.5
GewoonBB,M,Netherlands,Amouage,Reflection Man,7.7
GewoonBB,M,Netherlands,Zoologist,Bee,8.5
GewoonBB,M,Netherlands,Parfums de Marly,Lippizan,3.0
Marron,W,Germany,Histoires d'Eaux,Mon Jardin d'Hiver,5.7
Marron,W,Germany,Santi Burgas,Lôant Collection - Lômusk,5.5
Thiagomir,M,Brazil,Lattafa / لطافة,Khaltaat Al Arabia Royal Blends,8.7
Baressi,M,Italy,Priya Means Love,Sunsmoke COLOGNEZ,7.0
Befragrances,M,Belgium,Editions de Parfums Frédéric Malle,Music for a While,7.8
Befragrances,M,Belgium,Mugler,A*Men Pure Malt,7.7
Befragrances,M,Belgium,Amouage,Interlude Black Iris,9.2
Befragrances,M,Belgium,Akro,Malt,7.3
Befragrances,M,Belgium,Nino Amaddeo,S'enflammer,6.5
Befragrances,M,Belgium,Carolina Herrera,CH Men Privé,6.7
Befragrances,M,Belgium,Parfums de Marly,Layton,8.2
Befragrances,M,Belgium,Creed,Aventus EAU DE PARFUMZ,10.0
Befragrances,M,Belgium,Parfums de Marly,Kalan,9.5
Befragrances,M,Belgium,Parfums de Marly,Herod,8.3
Befragrances,M,Belgium,Tiziana Terenzi,Orion,7.3
Befragrances,M,Belgium,Byron Parfums,The Chronic,8.0
Befragrances,M,Belgium,Amouage,Reflection Man,7.5
Befragrances,M,Belgium,Penhaligon's,Portraits - The Tragedy of Lord George,7.3
Ticodzilla,M,Costa Rica,Parfums de Marly,Sedley,9.3
Ticodzilla,M,Costa Rica,Hugh Parsons,Traditional EAU DE PARFUMZ,8.0
Ticodzilla,M,Costa Rica,Parfums de Marly,Percival,8.3
Vitodito,M,Spain,Carthusia,Corallium EAU DE PARFUMZ,7.7
Vitodito,M,Spain,Fragrance Du Bois,Minuit et Demi,5.3
Vitodito,M,Spain,L'Artisan Parfumeur,63 Crepusculum Mirabile,9.3
Vitodito,M,Spain,Majouri,One Of A Kind,8.7
Vitodito,M,Spain,Majouri,Signature,9.0
Vitodito,M,Spain,Atelier Rebul,J. C. Reboul,9.3
Vitodito,M,Spain,Atelier Rebul,Istanbul,8.7
Vitodito,M,Spain,L'Artisan Parfumeur,Un Air de Bretagne,7.7
Vitodito,M,Spain,Laboratorio Olfattivo,Vanagloria,9.3
Vitodito,M,Spain,Laboratorio Olfattivo,Vanhera,7.7
Vitodito,M,Spain,Roja Parfums,Oceania,9.3
Vitodito,M,Spain,Berdoues,Collection Grands Crus - Azur Riviera,6.8
Vitodito,M,Spain,Sylvaine Delacourte,Virgile,8.3
Vitodito,M,Spain,Atelier des Ors,Nuda Veritas EAU DE PARFUMZ,8.2
Vitodito,M,Spain,L'Artisan Parfumeur,Mémoire de Roses,8.3
Vitodito,M,Spain,Ferrari,Noble Fig,7.5
Vitodito,M,Spain,Parfums de Marly,Layton,7.0
Vitodito,M,Spain,Nomenclature,shi_sõ,8.7
Vitodito,M,Spain,L'Artisan Parfumeur,Tea for Two,8.0
Vitodito,M,Spain,L'Artisan Parfumeur,Noir Exquis,8.7
Vitodito,M,Spain,L'Artisan Parfumeur,Caligna,7.3
Vitodito,M,Spain,Jean Paul Gaultier,Gaultier² (2005),6.5
Vitodito,M,Spain,L'Artisan Parfumeur,Iris de Gris,8.2
Vitodito,M,Spain,L'Artisan Parfumeur,Cédrat Céruse,8.7
Vitodito,M,Spain,Ferrari,Essence Musk,7.3
Vitodito,M,Spain,Louis Vuitton,On The Beach,7.3
Vitodito,M,Spain,L'Artisan Parfumeur,Premier Figuier EAU DE TOILETTEZ,8.2
Vitodito,M,Spain,Goldfield & Banks,Pacific Rock Moss,8.7
Vitodito,M,Spain,Berdoues,Collection Grands Crus - Russkaya Кожа,9.3
Vitodito,M,Spain,Essential Parfums,Bois Impérial,10.0
Vitodito,M,Spain,Floraïku,Ao,8.5
Vitodito,M,Spain,L'Artisan Parfumeur,Batucada,8.7
Vitodito,M,Spain,L'Artisan Parfumeur,Histoire d'Orangers,10.0
Vitodito,M,Spain,Giorgio Armani,Armani Privé - Bleu Turquoise,10.0
Vitodito,M,Spain,L'Artisan Parfumeur,Traversée du Bosphore,9.3
Vitodito,M,Spain,L'Artisan Parfumeur,Mandarina Corsica,8.7
Vitodito,M,Spain,Bois 1920,Centenario,7.7
Vitodito,M,Spain,L'Artisan Parfumeur,Fables d'Orient,8.7
Vitodito,M,Spain,Atelier des Ors,Pomelo Riviera,6.7
Vitodito,M,Spain,Atelier des Ors,Nuda Veritas EXTRAITZ,8.5
Vitodito,M,Spain,Salvatore Ferragamo,Tuscan Creations - Punta Ala EAU DE PARFUMZ,8.5
Vitodito,M,Spain,Viktor & Rolf,Spicebomb,9.0
Vitodito,M,Spain,L'Erbolario,Fior di Salina,6.8
Vitodito,M,Spain,Carthusia,A'mmare,8.0
Vitodito,M,Spain,Francesca Dell'Oro,Ice Yasmill,8.3
Vitodito,M,Spain,bdk Parfums,Sel d'Argent,9.3
Vitodito,M,Spain,Penhaligon's,Trade Routes Collection - Lothair,7.7
